NAME,CLASS,CODE,CNPJ,STOCK_TYPE,ISIN,SETOR(BOVESPA),SUBSETOR(BOVESPA),SEGMENTO(BOVESPA),CVM_CODE,CVM_STATUS,CVM_FIRM_TYPE,FIRM_NAME,SOURCE_ECONOMATICA,SOURCE_CVM,SOURCE_BRFIN
3R PETROLEUM,ON,RRRP3,12.091.809/0001-55,AÇÃO,BRRRRPACNOR5,PETRÓLEO GÁS E BIOCOMBUSTÍVEIS,PETRÓLEO GÁS E BIOCOMBUSTÍVEIS,EXPLORAÇÃO REFINO E DISTRIBUIÇÃO,025291,Concedido em 09/11/2020,CIAS ABERTAS,3R PETROLEUM OLÉO E GÁS S.A.,True,True,False
3TENTOS,ON,TTEN3,94.813.102/0001-70,AÇÃO,BRTTENACNOR0,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,025950,Concedido em 21/06/2021,CIAS ABERTAS,TRÊS TENTOS AGROINDUSTRIAL S.A.,True,True,False
521 PARTICIP,ON,QVUM3B,01.547.749/0001-16,AÇÃO,-,-,-,-,016330,Concedido em 11/07/1997,CIAS ABERTAS,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,True,True,False
524 PARTICIP,ON,QVQP3,01.851.771/0001-55,AÇÃO,BRQVQPACNOR1,OUTROS,OUTROS,OUTROS,016284,Concedido em 30/05/1997,CIAS ABERTAS,524 PARTICIPAÇOES SA,True,True,False
A P PARTICIPACOES,ON;PN,APPA3;APPA4,02.288.752/0001-25,AÇÃO,-,-,-,-,016802,Cancelado em 23/12/2004,CIAS ABERTAS,A.P. PARTICIPAÇOES SA,True,True,False
ABC BRASIL,ON;PN;UNT N2,ABCB3;ABCB4;ABCB11,28.195.667/0001-06,AÇÃO,BRABCBACNOR7;BRABCBACNPR4;-,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,020958,Concedido em 23/07/2007,CIAS ABERTAS,BANCO ABC BRASIL S/A,True,True,False
ABYARA,ON,ABYA3,07.794.351/0001-60,AÇÃO,-,-,-,-,020206,Cancelado em 28/05/2010,CIAS ABERTAS,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,True,True,False
ACO ALTONA,ON;PN,EALT3;EALT4,82.643.537/0001-34,AÇÃO,BREALTACNOR4;BREALTACNPR1,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,005380,Concedido em 19/01/1950,CIAS ABERTAS,ELECTRO AÇO ALTONA S/A,True,True,False
ACOS VILL,ON;PN,AVIL3;AVIL4,60.664.810/0001-74,AÇÃO,-,-,-,-,000108,Cancelado em 30/12/2010,CIAS ABERTAS,AÇOS VILLARES SA,True,True,False
ADVANCED-DH,ON,ADHM3,10.345.009/0001-98,AÇÃO,BRADHMACNOR9,SAÚDE,SERVIÇOS MÉDICO-HOSPITALARES ANÁLISES E DIAGNÓSTICOS,SERVIÇOS MÉDICO-HOSPITALARES ANÁLISES E DIAGNÓSTICOS,021725,Cancelado em 12/07/2022,CIAS ABERTAS,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,True,True,False
AERIS,ON,AERI3,12.528.708/0001-07,AÇÃO,BRAERIACNOR4,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,025283,Concedido em 09/11/2020,CIAS ABERTAS,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,True,True,False
AES BRASIL,ON;ON-OLD;PN,AESB3;TIET3;TIET4,37.663.076/0001-07,AÇÃO,BRAESBACNOR7;BRTIETACNOR0;BRTIETACNPR7,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,025640,Concedido em 18/03/2021,CIAS ABERTAS,AES Brasil Energia S/A,True,True,False
AES ELPA,ON,AELP3,01.917.705/0001-30,AÇÃO,BRAELPACNOR2,FINANCEIRO,OUTROS,OUTROS,019313,Cancelado em 05/09/2018,CIAS ABERTAS,AES ELPA SA,True,True,False
AES SUL,ON;PN,AESL3;AESL4,02.016.440/0001-62,AÇÃO,-,-,-,-,016527,Concedido em 13/10/1997,CIAS ABERTAS,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,True,True,False
AES TIETE,ON;PN,GETI3;GETI4,02.998.609/0001-27,AÇÃO,BRGETIACNOR7;BRGETIACNPR4,-,-,-,018350,Cancelado em 31/12/2015,CIAS ABERTAS,AES TIETE SA,True,True,False
AESOPERACOES,ON,AESO3,00.194.724/0001-13,AÇÃO,BRAESOACNOR0,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,026174,Concedido em 17/08/2021,CIAS ABERTAS,AES BRASIL OPERAÇÕES S.A.,True,True,False
AETATIS SEC,ON,AETA3,02.808.481/0001-91,AÇÃO,-,-,-,-,018104,Cancelado em 24/06/2016,CIAS ABERTAS,AETATIS SECURITIZADORA S.A.,True,True,False
AFLUENTE,ON;PNA;PNB,AFLU3;AFLU5;AFLU6,07.620.094/0001-40,AÇÃO,BRAFLUACNOR9;BRAFLUACNPA2;BRAFLUACNPB0,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,020150,Cancelado em 24/11/2017,CIAS ABERTAS,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,True,True,False
AFLUENTE T,ON,AFLT3,10.338.320/0001-00,AÇÃO,BRAFLTACNOR1,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,022179,Concedido em 24/09/2010,CIAS ABERTAS,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,True,True,False
AGCONCESSOES,ON;PN,ANDG3B;ANDG4B,03.601.314/0001-38,AÇÃO,BRANDGACNOR9;BRANDGACNPR6,FINANCEIRO,HOLDINGS DIVERSIFICADAS,HOLDINGS DIVERSIFICADAS,019437,Cancelado em 31/12/2018,CIAS ABERTAS,ANDRADE GUTIERREZ CONCESSOES SA,True,True,False
AGF BRASIL,ON,BSGR3,61.573.796/0001-66,AÇÃO,-,-,-,-,012343,Cancelado em 30/05/2005,CIAS ABERTAS,AGF BRASIL SEGUROS SA,True,True,False
AGPART,ON;PN,CANT3B;CANT4B,04.031.960/0001-70,AÇÃO,BRCANTACNOR4;BRCANTACNPR1,FINANCEIRO,HOLDINGS DIVERSIFICADAS,HOLDINGS DIVERSIFICADAS,019062,Cancelado em 12/08/2019,CIAS ABERTAS,ANDRADE GUTIERREZ PARTICIPAÇÕES SA,True,True,False
AGRA INCORP,ON,AGIN3,07.698.047/0001-10,AÇÃO,-,-,-,-,020664,Cancelado em 28/05/2010,CIAS ABERTAS,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,True,True,False
AGRALE,PN,AGRA4,88.610.324/0001-92,AÇÃO,BRAGRAACNPR3,-,-,-,000183,Cancelado em 26/06/2000,CIAS ABERTAS,AGRALE SA,True,True,False
AGRE EMP IMO,ON,AGEI3,11.040.082/0001-14,AÇÃO,-,-,-,-,021911,Cancelado em 19/07/2010,CIAS ABERTAS,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,True,True,False
AGRENCO,ON,AGEN33,08.943.312/0001-40,AÇÃO,BRAGENBDR001,CONSUMO NÃO CÍCLICO,COMÉRCIO E DISTRIBUIÇÃO,ALIMENTOS,-,-,-,-,True,False,False
AGRIBRASIL,ON,GRAO3,18.483.666/0001-03,AÇÃO,BRGRAOACNOR7,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,025933,Concedido em 10/06/2021,CIAS ABERTAS,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A,True,True,False
AGROCERES,PN,SAGR4,56.783.681/0001-66,AÇÃO,-,-,-,-,010570,Cancelado em 04/06/1998,CIAS ABERTAS,SEMENTES AGROCERES SA,True,True,False
AGROGALAXY,ON,AGXY3,21.240.146/0001-84,AÇÃO,BRAGXYACNOR4,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,025658,Concedido em 19/03/2021,CIAS ABERTAS,AGROGALAXY PARTICIPAÇÕES S.A,True,True,False
ALBARUS,ON,ALBA3,92.758.085/0001-90,AÇÃO,-,-,-,-,000248,Cancelado em 05/08/2005,CIAS ABERTAS,DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO,True,True,False
