CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
31.694.680/0001-14,A C M AGRICOLA SA,CIAS INCENTIVADAS REGISTRADAS,505480,Cancelado em 19/11/2008
08.690.448/0001-96,A G HOTEIS E TURISMO SA,CIAS INCENTIVADAS REGISTRADAS,502316,Cancelado em 24/08/2007
92.659.614/0001-06,A J RENNER SA IND E PARTIP,CIAS ABERTAS,000035,Cancelado em 17/06/1998
04.895.165/0001-20,A M FIDALGO SA MAT DE CONSTR,CIAS INCENTIVADAS REGISTRADAS,504076,Cancelado em 28/09/2008
06.932.909/0001-64,A O GASPAR INDS SA,CIAS INCENTIVADAS REGISTRADAS,503592,Cancelado em 14/02/2012
02.288.752/0001-25,A.P. PARTICIPAÇOES SA,CIAS ABERTAS,016802,Cancelado em 23/12/2004
21.649.280/0001-33,ABC DADOS E INFORMATICA SA,CIAS ABERTAS,013307,Cancelado em 05/03/1993
02.258.274/0001-00,ABC SUPERMERCADOS SA,CIAS ABERTAS,016934,Cancelado em 17/12/2001
42.275.727/0001-21,ABC XTAL MICROELETRONICA SA,CIAS ABERTAS,013005,Cancelado em 11/09/1997
34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,CIAS ABERTAS,015270,Cancelado em 30/09/2009
44.597.052/0001-62,ABRIL SA,CIAS ABERTAS,014370,Cancelado em 21/12/1999
07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,CIAS ABERTAS,020206,Cancelado em 28/05/2010
10.416.907/0001-90,ACACIA EMPREEND HOTELEIROS SA,CIAS INCENTIVADAS REGISTRADAS,501832,Cancelado em 14/02/2012
09.557.372/0001-98,ACARY HOTELARIA S/A,CIAS INCENTIVADAS REGISTRADAS,503908,Cancelado em 14/02/2012
07.636.657/0001-99,ACO VERDE DO BRASIL S.A,CIAS ABERTAS,026425,Concedido em 29/11/2021
07.636.657/0001-99,ACO VERDE DO BRASIL S.A,CIAS INCENTIVADAS REGISTRADAS,515540,Cancelado em 31/01/2008
12.293.130/0001-49,ACOFORTE MOVEIS E EQUIP SA,CIAS INCENTIVADAS REGISTRADAS,513911,Cancelado em 11/05/2004
