Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
2w Energia S/A;ON;25224 ON;8773135000100;2w Energia S/A;Ação;-;-;-;-
3a Companhia Securitizadora;ON;21954 ON;11396633000187;3a Companhia Securitizadora;Ação;-;-;-;-
3r Petroleum;ON;RRRP3;12091809000155;3r Petroleum;Ação;BRRRRPACNOR5;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
3tentos;ON;TTEN3;94813102000170;3tentos;Ação;BRTTENACNOR0;Consumo não cíclico;Agropecuária;Agricultura
521 Particip;ON;QVUM3B;1547749000116;521 Particip;Ação;-;-;-;-
524 Particip;ON;QVQP3;1851771000155;524 Particip;Ação;BRQVQPACNOR1;Outros;Outros;Outros
A P Participacoes;ON;APPA3;2288752000125;A P Participacoes;Ação;-;-;-;-
A P Participacoes;PN;APPA4;2288752000125;A P Participacoes;Ação;-;-;-;-
Aajr Sec de Cred Imobiliários S/A;ON;24732 ON;31907982000123;Aajr Sec de Cred Imobiliários S/A;Ação;-;-;-;-
Abc Brasil;ON;ABCB3;28195667000106;Abc Brasil;Ação;BRABCBACNOR7;Financeiro;Intermediários financeiros;Bancos
Abc Brasil;PN;ABCB4;28195667000106;Abc Brasil;Ação;BRABCBACNPR4;Financeiro;Intermediários financeiros;Bancos
Abc Brasil;UNT N2;ABCB11;28195667000106;Abc Brasil;Ação;-;Financeiro;Intermediários financeiros;Bancos
Abyara;ON;ABYA3;7794351000160;Abyara;Ação;-;-;-;-
Aco Altona;ON;EALT3;82643537000134;Aco Altona;Ação;BREALTACNOR4;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
Aco Altona;PN;EALT4;82643537000134;Aco Altona;Ação;BREALTACNPR1;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
